  Signal    G_z      G_y       G_x     |G|     DELTA    delta     TE
1.012728 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.007794 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.979478 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.806956 0.074897 -0.550929 0.831185 0.055000 0.050000 0.006000 0.071000
0.799598 -0.082638 -0.820027 0.566328 0.055000 0.050000 0.006000 0.071000
0.798827 0.062362 -0.991630 -0.113056 0.055000 0.050000 0.006000 0.071000
0.788966 -0.090863 -0.875690 -0.474248 0.055000 0.050000 0.006000 0.071000
0.787773 0.171335 -0.945554 0.276717 0.055000 0.050000 0.006000 0.071000
0.782980 -0.164520 -0.299574 0.939781 0.055000 0.050000 0.006000 0.071000
0.782881 -0.192667 -0.960624 0.200203 0.055000 0.050000 0.006000 0.071000
0.781707 0.153219 -0.710182 -0.687143 0.055000 0.050000 0.006000 0.071000
0.777756 -0.196467 -0.585299 -0.786655 0.055000 0.050000 0.006000 0.071000
0.777371 0.311289 -0.722215 0.617661 0.055000 0.050000 0.006000 0.071000
0.777257 -0.188240 0.149941 -0.970610 0.055000 0.050000 0.006000 0.071000
0.769226 0.197368 -0.060591 -0.978455 0.055000 0.050000 0.006000 0.071000
0.766918 -0.172405 -0.237265 -0.956024 0.055000 0.050000 0.006000 0.071000
0.756592 -0.329682 -0.921238 -0.206473 0.055000 0.050000 0.006000 0.071000
0.755603 0.330845 -0.860779 -0.386784 0.055000 0.050000 0.006000 0.071000
0.753771 0.193441 -0.411435 -0.890675 0.055000 0.050000 0.006000 0.071000
0.748616 0.449377 -0.384826 0.806207 0.055000 0.050000 0.006000 0.071000
0.740403 -0.346859 -0.570080 0.744780 0.055000 0.050000 0.006000 0.071000
0.736509 0.449740 -0.892456 -0.035444 0.055000 0.050000 0.006000 0.071000
0.722164 -0.468244 -0.760945 0.449121 0.055000 0.050000 0.006000 0.071000
0.711744 0.518618 0.025082 0.854638 0.055000 0.050000 0.006000 0.071000
0.701868 -0.461624 -0.709546 -0.532398 0.055000 0.050000 0.006000 0.071000
0.700804 0.514345 0.193896 -0.835376 0.055000 0.050000 0.006000 0.071000
0.692969 0.515835 -0.792547 0.325244 0.055000 0.050000 0.006000 0.071000
0.692390 -0.522471 -0.369372 -0.768498 0.055000 0.050000 0.006000 0.071000
0.688129 -0.534119 -0.841272 0.083533 0.055000 0.050000 0.006000 0.071000
0.680616 0.505738 -0.575187 -0.642953 0.055000 0.050000 0.006000 0.071000
0.680456 0.541144 -0.209801 -0.814338 0.055000 0.050000 0.006000 0.071000
0.657646 0.683629 -0.508892 0.523144 0.055000 0.050000 0.006000 0.071000
0.621622 -0.692047 -0.444997 0.568373 0.055000 0.050000 0.006000 0.071000
0.617341 -0.679517 0.674668 0.288235 0.055000 0.050000 0.006000 0.071000
0.615081 -0.696944 -0.680750 -0.225499 0.055000 0.050000 0.006000 0.071000
0.611117 -0.756828 -0.414068 -0.505726 0.055000 0.050000 0.006000 0.071000
0.609603 0.750594 -0.143004 0.645104 0.055000 0.050000 0.006000 0.071000
0.603479 0.763862 -0.635899 0.110216 0.055000 0.050000 0.006000 0.071000
0.591986 0.783186 0.053571 -0.619476 0.055000 0.050000 0.006000 0.071000
0.587446 -0.777656 -0.596643 0.198163 0.055000 0.050000 0.006000 0.071000
